song,artist
Higher,Creed
No Leaf Clover,Metallica
Stiff Upper Lip,AC/DC
Kryptonite,3 Doors Down
I Disappear,Metallica
With Arms Wide Open,Creed
I Disappear,Metallica
Californication,Red Hot Chili Peppers
Loser,3 Doors Down
Awake,Godsmack
Jaded,Aerosmith
Outside,Aaron Lewis with Fred Durst
Breakdown,Tantric
Duck and Run,3 Doors Down
It's Been Awhile,Staind
How You Remind Me,Nickelback
My Sacrifice,Creed
Blurry,Puddle of Mudd
Too Bad,Nickelback
I Stand Alone,Godsmack
Hero,Chad Kroeger featuring Josey Scott
Drift & Die,Puddle of Mudd
By the Way,Red Hot Chili Peppers
Aerials,System of a Down
Never Again,Nickelback
She Hates Me,Puddle of Mudd
You Know You're Right,Nirvana
When I'm Gone,3 Doors Down
Straight Out of Line,Godsmack
Somewhere I Belong,Linkin Park
Like a Stone,Audioslave
Send the Pain Below,Chevelle
Headstrong,Trapt
Send the Pain Below,Chevelle
So Far Away,Staind
Weak and Powerless,A Perfect Circle
Still Frame,Trapt
Away from Me,Puddle of Mudd
Numb,Linkin Park
Figured You Out,Nickelback
Cold Hard Bitch,Jet
Slither,Velvet Revolver
Just Like You,Three Days Grace
Breaking the Habit,Linkin Park
Fall to Pieces,Velvet Revolver
Vitamin R (Leading Us Along),Chevelle
Boulevard of Broken Dreams,Green Day
Be Yourself,Audioslave
Happy?,Mudvayne
Holiday,Green Day
Remedy,Seether
Best of You,Foo Fighters
Remedy,Seether
Right Here,Staind
Photograph,Nickelback
Save Me,Shinedown
Animals,Nickelback
Speak,Godsmack
Dani California,Red Hot Chili Peppers
Animal I Have Become,Three Days Grace
Through Glass,Stone Sour
Land of Confusion,Disturbed
The Pot,Tool
Pain,Three Days Grace
Breath,Breaking Benjamin
What I've Done,Linkin Park
I Don't Wanna Stop,Ozzy Osbourne
Paralyzer,Finger Eleven
Never Too Late,Three Days Grace
The Pretender,Foo Fighters
Fake It,Seether
Psycho,Puddle of Mudd
It's Not My Time,3 Doors Down
Inside the Fire,Disturbed
Devour,Shinedown
Bad Girlfriend,Theory of a Deadman
The Day That Never Comes,Metallica
Bad Girlfriend,Theory of a Deadman
The Day That Never Comes,Metallica
Rock 'N Roll Train,AC/DC
I Don't Care,Apocalyptica featuring Adam Gontier
Second Chance,Shinedown
Something in Your Mouth,Nickelback
Cyanide,Metallica
Lifeline,Papa Roach
Know Your Enemy,Green Day
Sound of Madness,Shinedown
New Divide,Linkin Park
Champagne,Cavo
Whiskey Hangover,Godsmack
Check My Brain,Alice in Chains
I Will Not Bow,Breaking Benjamin
Break,Three Days Grace